index,planPhraseId,planPeriodType,domainCode,domain,ageYears,phraseNo,phraseType,phraseText,source,status,sortOrder,note
0,PLAN-HEALTH-3-001,MONTH,11,健康,3,1,月のねらい,保育士や友達と安心して関わりながら、好きな遊びを見つけて伸び伸びと体を動かす。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113001,
1,PLAN-HEALTH-3-002,MONTH,11,健康,3,2,月のねらい,園生活の流れに少しずつ慣れ、保育士に見守られながら身の回りのことを自分でしようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113002,
2,PLAN-HEALTH-3-003,MONTH,11,健康,3,3,月のねらい,戸外遊びや運動遊びを楽しみ、走る、跳ぶ、登るなど、全身を使う心地よさを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113003,
3,PLAN-HEALTH-3-004,MONTH,11,健康,3,4,月のねらい,食事や排せつ、着脱などの基本的な生活習慣に関心をもち、保育士と一緒に取り組もうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113004,
4,PLAN-HEALTH-3-005,MONTH,11,健康,3,5,月のねらい,手洗い、うがい、衣服の調整などを保育士に促されながら行い、健康に過ごす心地よさを感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113005,
5,PLAN-HEALTH-3-006,MONTH,11,健康,3,6,月のねらい,危険な場所や遊び方について保育士の言葉を聞き、安全に遊ぼうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113006,
6,PLAN-HEALTH-4-001,MONTH,11,健康,4,1,月のねらい,友達と一緒に戸外や室内で体を動かす遊びを楽しみ、いろいろな動きに挑戦する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114001,
7,PLAN-HEALTH-4-002,MONTH,11,健康,4,2,月のねらい,園生活の見通しをもち、自分でできる身の回りのことに進んで取り組む。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114002,
8,PLAN-HEALTH-4-003,MONTH,11,健康,4,3,月のねらい,走る、跳ぶ、投げる、支える、バランスを取るなど、多様な動きを経験しながら体の使い方を知る。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114003,
9,PLAN-HEALTH-4-004,MONTH,11,健康,4,4,月のねらい,友達と食事をする楽しさを感じ、様々な食べ物に興味をもつ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114004,
10,PLAN-HEALTH-4-005,MONTH,11,健康,4,5,月のねらい,手洗い、うがい、汗の始末、衣服の調整など、健康に過ごすための習慣を身に付けようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114005,
11,PLAN-HEALTH-4-006,MONTH,11,健康,4,6,月のねらい,遊具や道具の使い方、遊びの約束を知り、安全に気を付けて遊ぼうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114006,
12,PLAN-HEALTH-5-001,MONTH,11,健康,5,1,月のねらい,友達と目的を共有しながら、思いきり体を動かして遊ぶ楽しさや達成感を味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115001,
13,PLAN-HEALTH-5-002,MONTH,11,健康,5,2,月のねらい,自分の体や健康に関心をもち、生活に必要な習慣を自分で考えて行動しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115002,
14,PLAN-HEALTH-5-003,MONTH,11,健康,5,3,月のねらい,運動遊びや集団遊びの中で、体の動きを調整したり、力加減を考えたりしながら遊ぶ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115003,
15,PLAN-HEALTH-5-004,MONTH,11,健康,5,4,月のねらい,食事、睡眠、清潔、衣服の調整など、健康な生活に必要なことに気付き、自分から行おうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115004,
16,PLAN-HEALTH-5-005,MONTH,11,健康,5,5,月のねらい,友達と協力して生活の場を整え、見通しをもって活動に取り組む。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115005,
