linkId,playId,playTitle,sortOrder,relationType,weight,abilityCode,domain,category,abilityName,reason
WPL-000001,WP-001,1000円で行ける場所で遊ぶ,1,PRIMARY,3,3104002,環境,数量や図形、標識や文字などへの関心・感覚,数量や図形を遊びや生活で活用する力,予算、分量、数、時間などを生活の中で使う経験になるため。
WPL-000002,WP-001,1000円で行ける場所で遊ぶ,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,必要な情報を探し、比べ、活動に生かす経験になるため。
WPL-000003,WP-001,1000円で行ける場所で遊ぶ,3,RELATED,2,1101003,健康,健康な心と体,見通しをもった計画的な遊び,手順や予定を考えながら進めることで、見通しをもった活動につながるため。
WPL-000004,WP-001,1000円で行ける場所で遊ぶ,4,RELATED,1,3101005,環境,社会生活との関わり,社会とのつながりの意識,仕事、地域、社会の仕組みに関心をもつきっかけになるため。
WPL-000005,WP-002,いつもと雰囲気を変えてお風呂を楽しむ,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を伸ばす・動かす・心地よさを味わう体験になりやすいため。
WPL-000006,WP-002,いつもと雰囲気を変えてお風呂を楽しむ,2,RELATED,2,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,清潔・休息・安全な体の使い方など、生活習慣への関心につながるため。
WPL-000007,WP-002,いつもと雰囲気を変えてお風呂を楽しむ,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ時間として安心感や親しみを感じやすいため。
WPL-000008,WP-003,いつもの電車の終点訪問,1,PRIMARY,3,3101001,環境,社会生活との関わり,さまざまな環境への主体的関わり,普段と異なる環境に自分から関わる経験になるため。
WPL-000009,WP-003,いつもの電車の終点訪問,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,行き先・交通・店・表示など、必要な情報を集めて活用する体験になるため。
WPL-000010,WP-003,いつもの電車の終点訪問,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,見たこと・考えたことを家族に伝える機会が多いため。
WPL-000011,WP-003,いつもの電車の終点訪問,4,RELATED,1,2104002,人間関係,社会生活との関わり,地域の人々との触れ合い,地域の人や社会の場との触れ合いにつながるため。
WPL-000012,WP-004,おしゃべり続ける競争,1,PRIMARY,3,4102006,言葉,言葉による伝え合い,言葉による伝え合いの楽しみ,家族と会話し、言葉でやりとりする楽しさを味わえるため。
WPL-000013,WP-004,おしゃべり続ける競争,2,RELATED,2,4102003,言葉,言葉による伝え合い,豊かな語彙と表現の習得,言葉の種類や言い方を増やし、表現を楽しむ経験になるため。
WPL-000014,WP-004,おしゃべり続ける競争,3,RELATED,2,4102005,言葉,言葉による伝え合い,相手の話を注意深く聴く力,相手の話を最後まで聞き、理解しようとする経験になるため。
WPL-000015,WP-004,おしゃべり続ける競争,4,RELATED,1,2103006,人間関係,道徳性・規範意識の芽生え,ルールの創出と遵守,ルールを作ったり守ったりしながら遊ぶ経験になるため。
WPL-000016,WP-005,おにぎりを作って公園で食べる,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を動かしたり屋外で過ごしたりする中で、心身をのびのび使う経験になるため。
WPL-000017,WP-005,おにぎりを作って公園で食べる,2,RELATED,2,3103001,環境,自然との関わり・生命尊重,自然に触れて感動する体験,草花、風、水、季節など身近な自然に触れる経験になるため。
WPL-000018,WP-005,おにぎりを作って公園で食べる,3,RELATED,2,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料や道具の変化、仕組みに気付く経験になるため。
WPL-000019,WP-005,おにぎりを作って公園で食べる,4,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族で一緒に過ごし、互いを大切に感じる経験になりやすいため。
WPL-000020,WP-006,おにぎりバイキング,1,PRIMARY,3,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料が変化する様子や道具の仕組みに気付きやすいため。
WPL-000021,WP-006,おにぎりバイキング,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,順番・分量・焼き加減などを予測し工夫する体験になるため。
WPL-000022,WP-006,おにぎりバイキング,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,役割を分け、家族と協力して進める経験になるため。
WPL-000023,WP-006,おにぎりバイキング,4,RELATED,1,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,食事・衛生・安全な調理への関心につながるため。
WPL-000024,WP-007,お化けやしきごっこ,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,体・声・衣装・動きなどで自分なりに表現する経験になるため。
WPL-000025,WP-007,お化けやしきごっこ,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族と一緒に演じたり合わせたりする表現を楽しめるため。
WPL-000026,WP-007,お化けやしきごっこ,3,RELATED,2,5101005,表現,豊かな感性と表現,表現の喜びと達成感,見てもらう・やり切ることで表現の喜びと達成感につながるため。
WPL-000027,WP-007,お化けやしきごっこ,4,RELATED,1,2102004,人間関係,協同性,協力して行動する力,準備や役割分担を協力して進める経験になるため。
WPL-000028,WP-008,お家でのかくれんぼ,1,PRIMARY,3,2103006,人間関係,道徳性・規範意識の芽生え,ルールの創出と遵守,ルールを理解し、守ったり工夫したりする遊びになるため。
WPL-000029,WP-008,お家でのかくれんぼ,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,どこに隠れるか、どう探すかを予測し考える経験になるため。
WPL-000030,WP-008,お家でのかくれんぼ,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,家族と順番や役割を意識して遊ぶ経験になるため。
WPL-000031,WP-008,お家でのかくれんぼ,4,RELATED,1,1101001,健康,健康な心と体,主体的・充実感ある遊び,主体的に遊びに参加し、充実感を得やすいため。
WPL-000032,WP-009,お家でハワイごっこ,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,体・声・衣装・動きなどで自分なりに表現する経験になるため。
WPL-000033,WP-009,お家でハワイごっこ,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族と一緒に演じたり合わせたりする表現を楽しめるため。
WPL-000034,WP-009,お家でハワイごっこ,3,RELATED,2,5101005,表現,豊かな感性と表現,表現の喜びと達成感,見てもらう・やり切ることで表現の喜びと達成感につながるため。
