abilityCode,abilityName,startingAge,episode1,episode2,episode3
1101001,主体的・充実感ある遊び,5,自分で遊びを選び、時間を忘れて夢中で取り組む,もっと やりたい！ 今度は こうしてみよう !,目を輝かせて遊びに没頭する
1101001,主体的・充実感ある遊び,5,遊びを発展させたり、工夫を加えたりする,今度は こうしてみよう！すごく 楽しかった！,集中して他のことに気を取られない
1101001,主体的・充実感ある遊び,5,遊びの後に満足した表情で振り返りを話す,すごく 楽しかった！もっと やりたい！ ,遊び終わって満面の笑みを見せる
1101002,のびのびと心身を動かす遊び,3,戸外で走ったり跳んだり登ったりと全身を使って遊ぶ,もっと 高く 跳べるよ！ いっしょに 走ろう！,大きな声を出して開放感を表す
1101002,のびのびと心身を動かす遊び,3,友達と追いかけっこや鬼ごっこを元気に楽しむ,いっしょに 走ろう！気持ちいい～！,両手を広げて風を感じながら走る
1101002,のびのびと心身を動かす遊び,3,新しい動きや難しい動きにも挑戦する,気持ちいい～！もっと 高く 跳べるよ！,汗をかきながらも笑顔で動き続ける
1101003,見通しをもった計画的な遊び,5,遊びの前に必要な物を自分で準備する,あと 少しで 終わりだから 片付けよう！,材料や道具を順に並べて準備する
1101003,見通しをもった計画的な遊び,5,「次はこうしよう」と段取りを考えて進める,先に これを 作ってから、次に ○○しよう！,時計を確認しながら行動する
1101003,見通しをもった計画的な遊び,5,時間を意識して遊びと片付けの区切りをつける,明日は 続きを やろうね！あと 少しで 終わりだから 片付けよう！,友達と段取りを指差しながら確認する
1101004,健康と安全を育む遊び習慣,3,遊びの前後に手洗い・うがいを自分から行う,走ると 危ないよ、歩こう！お水 飲んでこよう！,危険を察知して立ち止まる・避ける
1101004,健康と安全を育む遊び習慣,3,遊具の使い方や約束を守って安全に遊ぶ,お水 飲んでこよう！手を洗ってから 食べるんだよ！,友達にも安全な使い方を教える
1101004,健康と安全を育む遊び習慣,3,疲れたら休憩し、水分補給をする,手を洗ってから 食べるんだよ！走ると 危ないよ、歩こう！,汗を拭いて着替えたり水を飲んだりする
2101001,主体的な環境への参加,5,自分から遊びのコーナーや活動の輪に入っていく,わたしも やってみたい！ 先生、これ 使っていい？,目を輝かせて活動を覗き込む
2101001,主体的な環境への参加,5,興味を持った素材や道具を自分で選んで使い始める,先生、これ 使っていい？次は ○○で 遊ぼう！,自分から手を挙げて意思表示する
2101001,主体的な環境への参加,5,保育士や友達に「やりたい」「入れて」と自分から声をかける,次は ○○で 遊ぼう！わたしも やってみたい！,積極的に前に出て物を取りに行く
2101002,しなければならないことの自覚,4,声をかけられる前に片付けや手洗いを始める,今日は ぼくが 当番だよ！ 片付けの 時間だね！,やるべきことを終えるまで他の遊びを我慢する
2101002,しなければならないことの自覚,4,当番活動や係の仕事を忘れずに行う,片付けの 時間だね！手を洗ってから 食べるんだよ！,時計やスケジュール表を確認する
2101002,しなければならないことの自覚,4,使った物を元の場所に戻す,手を洗ってから 食べるんだよ！今日は ぼくが 当番だよ！,友達にも「○○の時間だよ」と知らせる
2101003,自力で考え工夫する力,4,上手くいかない時、方法を変えて何度も試す,こうしたら どうかな？ こっちの方が いいかも！,じっと考え込んで試行錯誤する
2101003,自力で考え工夫する力,4,道具や素材を組み合わせて新しい遊び方を生み出す,こっちの方が いいかも！ちがうやりかた してみる！,materialをあれこれ持ち替えて比べる
2101003,自力で考え工夫する力,4,困った場面で周りの物を活用して解決しようとする,ちがうやりかた してみる！こうしたら どうかな？,完成品を眺めて手直しする
2101004,諦めずにやり遂げる力,4,難しい課題にも最後まで取り組み続ける,もう一回 やってみる！ まだ できる、がんばる！,眉をしかめて真剣に取り組む
2101004,諦めずにやり遂げる力,4,失敗しても繰り返し挑戦する,まだ できる、がんばる！さいごまで やりたい！,失敗しても気を取り直して再び手を動かす
