linkId,planPhraseId,planPeriodType,phraseDomainCode,phraseDomain,ageYears,phraseNo,abilityCode,abilityDomain,categoryCode,categoryName,abilityName,relationType,weight,status,sortOrder,note
PPAL-00001,PLAN-HEALTH-3-001,MONTH,11,健康,3,1,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,PRIMARY,3,active,1,
PPAL-00002,PLAN-HEALTH-3-001,MONTH,11,健康,3,1,1101002,健康,1101,健康な心と体,のびのびと心身を動かす遊び,PRIMARY,3,active,2,
PPAL-00003,PLAN-HEALTH-3-001,MONTH,11,健康,3,1,2102001,人間関係,2102,協同性,友達と思いや考えを共有,RELATED,1,active,3,
PPAL-00004,PLAN-HEALTH-3-002,MONTH,11,健康,3,2,1101003,健康,1101,健康な心と体,見通しをもった計画的な遊び,PRIMARY,3,active,4,
PPAL-00005,PLAN-HEALTH-3-002,MONTH,11,健康,3,2,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,5,
PPAL-00006,PLAN-HEALTH-3-002,MONTH,11,健康,3,2,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,6,
PPAL-00007,PLAN-HEALTH-3-002,MONTH,11,健康,3,2,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,7,
PPAL-00008,PLAN-HEALTH-3-003,MONTH,11,健康,3,3,1101002,健康,1101,健康な心と体,のびのびと心身を動かす遊び,PRIMARY,3,active,8,
PPAL-00009,PLAN-HEALTH-3-003,MONTH,11,健康,3,3,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,PRIMARY,3,active,9,
PPAL-00010,PLAN-HEALTH-3-003,MONTH,11,健康,3,3,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,RELATED,2,active,10,
PPAL-00011,PLAN-HEALTH-3-004,MONTH,11,健康,3,4,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,11,
PPAL-00012,PLAN-HEALTH-3-004,MONTH,11,健康,3,4,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,12,
PPAL-00013,PLAN-HEALTH-3-004,MONTH,11,健康,3,4,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,13,
PPAL-00014,PLAN-HEALTH-3-005,MONTH,11,健康,3,5,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,14,
PPAL-00015,PLAN-HEALTH-3-005,MONTH,11,健康,3,5,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,15,
PPAL-00016,PLAN-HEALTH-3-006,MONTH,11,健康,3,6,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,16,
PPAL-00017,PLAN-HEALTH-3-006,MONTH,11,健康,3,6,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,RELATED,1,active,17,
PPAL-00018,PLAN-HEALTH-3-006,MONTH,11,健康,3,6,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,RELATED,1,active,18,
PPAL-00019,PLAN-HEALTH-3-006,MONTH,11,健康,3,6,4102005,言葉,4102,言葉による伝え合い,相手の話を注意深く聴く力,RELATED,1,active,19,
PPAL-00020,PLAN-HEALTH-4-001,MONTH,11,健康,4,1,1101002,健康,1101,健康な心と体,のびのびと心身を動かす遊び,PRIMARY,3,active,20,
PPAL-00021,PLAN-HEALTH-4-001,MONTH,11,健康,4,1,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,PRIMARY,3,active,21,
PPAL-00022,PLAN-HEALTH-4-001,MONTH,11,健康,4,1,2102001,人間関係,2102,協同性,友達と思いや考えを共有,RELATED,1,active,22,
PPAL-00023,PLAN-HEALTH-4-001,MONTH,11,健康,4,1,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,23,
PPAL-00024,PLAN-HEALTH-4-002,MONTH,11,健康,4,2,1101003,健康,1101,健康な心と体,見通しをもった計画的な遊び,PRIMARY,3,active,24,
PPAL-00025,PLAN-HEALTH-4-002,MONTH,11,健康,4,2,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,25,
PPAL-00026,PLAN-HEALTH-4-002,MONTH,11,健康,4,2,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,26,
PPAL-00027,PLAN-HEALTH-4-002,MONTH,11,健康,4,2,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,27,
PPAL-00028,PLAN-HEALTH-4-003,MONTH,11,健康,4,3,1101002,健康,1101,健康な心と体,のびのびと心身を動かす遊び,PRIMARY,3,active,28,
PPAL-00029,PLAN-HEALTH-4-003,MONTH,11,健康,4,3,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,PRIMARY,3,active,29,
PPAL-00030,PLAN-HEALTH-4-003,MONTH,11,健康,4,3,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,RELATED,2,active,30,
PPAL-00031,PLAN-HEALTH-4-004,MONTH,11,健康,4,4,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,31,
PPAL-00032,PLAN-HEALTH-4-004,MONTH,11,健康,4,4,2102001,人間関係,2102,協同性,友達と思いや考えを共有,RELATED,1,active,32,
PPAL-00033,PLAN-HEALTH-4-004,MONTH,11,健康,4,4,4102006,言葉,4102,言葉による伝え合い,言葉による伝え合いの楽しみ,RELATED,1,active,33,
PPAL-00034,PLAN-HEALTH-4-005,MONTH,11,健康,4,5,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,34,
PPAL-00035,PLAN-HEALTH-4-005,MONTH,11,健康,4,5,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,35,
PPAL-00036,PLAN-HEALTH-4-005,MONTH,11,健康,4,5,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,36,
PPAL-00037,PLAN-HEALTH-4-006,MONTH,11,健康,4,6,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,37,
PPAL-00038,PLAN-HEALTH-4-006,MONTH,11,健康,4,6,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,RELATED,1,active,38,
PPAL-00039,PLAN-HEALTH-4-006,MONTH,11,健康,4,6,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,RELATED,1,active,39,
PPAL-00040,PLAN-HEALTH-4-006,MONTH,11,健康,4,6,3101003,環境,3101,社会生活との関わり,情報に基づく判断と伝達,RELATED,1,active,40,
PPAL-00041,PLAN-HEALTH-5-001,MONTH,11,健康,5,1,1101002,健康,1101,健康な心と体,のびのびと心身を動かす遊び,PRIMARY,3,active,41,
PPAL-00042,PLAN-HEALTH-5-001,MONTH,11,健康,5,1,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,PRIMARY,3,active,42,
PPAL-00043,PLAN-HEALTH-5-001,MONTH,11,健康,5,1,2102002,人間関係,2102,協同性,友達との共通目的の形成,RELATED,1,active,43,
PPAL-00044,PLAN-HEALTH-5-001,MONTH,11,健康,5,1,2102005,人間関係,2102,協同性,友達と充実感持った達成,RELATED,1,active,44,
PPAL-00045,PLAN-HEALTH-5-002,MONTH,11,健康,5,2,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,45,
PPAL-00046,PLAN-HEALTH-5-002,MONTH,11,健康,5,2,2101003,人間関係,2101,自立心,自力で考え工夫する力,RELATED,1,active,46,
PPAL-00047,PLAN-HEALTH-5-002,MONTH,11,健康,5,2,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,47,
PPAL-00048,PLAN-HEALTH-5-002,MONTH,11,健康,5,2,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,48,
PPAL-00049,PLAN-HEALTH-5-003,MONTH,11,健康,5,3,1101002,健康,1101,健康な心と体,のびのびと心身を動かす遊び,PRIMARY,3,active,49,
PPAL-00050,PLAN-HEALTH-5-003,MONTH,11,健康,5,3,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,50,
PPAL-00051,PLAN-HEALTH-5-003,MONTH,11,健康,5,3,2101003,人間関係,2101,自立心,自力で考え工夫する力,RELATED,1,active,51,
PPAL-00052,PLAN-HEALTH-5-003,MONTH,11,健康,5,3,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,1,active,52,
PPAL-00053,PLAN-HEALTH-5-004,MONTH,11,健康,5,4,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,53,
PPAL-00054,PLAN-HEALTH-5-004,MONTH,11,健康,5,4,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,54,
PPAL-00055,PLAN-HEALTH-5-004,MONTH,11,健康,5,4,2101003,人間関係,2101,自立心,自力で考え工夫する力,RELATED,1,active,55,
PPAL-00056,PLAN-HEALTH-5-004,MONTH,11,健康,5,4,2101006,人間関係,2101,自立心,自信をもった行動,RELATED,1,active,56,
PPAL-00057,PLAN-HEALTH-5-005,MONTH,11,健康,5,5,1101003,健康,1101,健康な心と体,見通しをもった計画的な遊び,PRIMARY,3,active,57,
PPAL-00058,PLAN-HEALTH-5-005,MONTH,11,健康,5,5,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,1,active,58,
PPAL-00059,PLAN-HEALTH-5-005,MONTH,11,健康,5,5,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,1,active,59,
PPAL-00060,PLAN-HEALTH-5-005,MONTH,11,健康,5,5,2101003,人間関係,2101,自立心,自力で考え工夫する力,RELATED,1,active,60,
PPAL-00061,PLAN-HEALTH-5-006,MONTH,11,健康,5,6,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,PRIMARY,3,active,61,
PPAL-00062,PLAN-HEALTH-5-006,MONTH,11,健康,5,6,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,RELATED,1,active,62,
PPAL-00063,PLAN-HEALTH-5-006,MONTH,11,健康,5,6,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,RELATED,1,active,63,
PPAL-00064,PLAN-HEALTH-5-006,MONTH,11,健康,5,6,3101003,環境,3101,社会生活との関わり,情報に基づく判断と伝達,RELATED,1,active,64,
PPAL-00065,PLAN-REL-3-001,MONTH,21,人間関係,3,1,2101001,人間関係,2101,自立心,主体的な環境への参加,PRIMARY,3,active,65,
PPAL-00066,PLAN-REL-3-001,MONTH,21,人間関係,3,1,2101006,人間関係,2101,自立心,自信をもった行動,PRIMARY,3,active,66,
PPAL-00067,PLAN-REL-3-001,MONTH,21,人間関係,3,1,4102001,言葉,4102,言葉による伝え合い,保育士と友達との心の交流,RELATED,1,active,67,
PPAL-00068,PLAN-REL-3-001,MONTH,21,人間関係,3,1,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,RELATED,1,active,68,
PPAL-00069,PLAN-REL-3-002,MONTH,21,人間関係,3,2,2102001,人間関係,2102,協同性,友達と思いや考えを共有,PRIMARY,3,active,69,
PPAL-00070,PLAN-REL-3-002,MONTH,21,人間関係,3,2,2104003,人間関係,2104,社会生活との関わり,人との多様な関わり方への気付き,PRIMARY,3,active,70,
PPAL-00071,PLAN-REL-3-002,MONTH,21,人間関係,3,2,4102001,言葉,4102,言葉による伝え合い,保育士と友達との心の交流,RELATED,1,active,71,
PPAL-00072,PLAN-REL-3-003,MONTH,21,人間関係,3,3,2101002,人間関係,2101,自立心,しなければならないことの自覚,PRIMARY,3,active,72,
PPAL-00073,PLAN-REL-3-003,MONTH,21,人間関係,3,3,2101006,人間関係,2101,自立心,自信をもった行動,PRIMARY,3,active,73,
PPAL-00074,PLAN-REL-3-003,MONTH,21,人間関係,3,3,2101001,人間関係,2101,自立心,主体的な環境への参加,RELATED,2,active,74,
PPAL-00075,PLAN-REL-3-003,MONTH,21,人間関係,3,3,1101004,健康,1101,健康な心と体,健康と安全を育む遊び習慣,RELATED,1,active,75,
PPAL-00076,PLAN-REL-3-004,MONTH,21,人間関係,3,4,2102001,人間関係,2102,協同性,友達と思いや考えを共有,PRIMARY,3,active,76,
PPAL-00077,PLAN-REL-3-004,MONTH,21,人間関係,3,4,2104003,人間関係,2104,社会生活との関わり,人との多様な関わり方への気付き,PRIMARY,3,active,77,
PPAL-00078,PLAN-REL-3-004,MONTH,21,人間関係,3,4,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,RELATED,1,active,78,
PPAL-00079,PLAN-REL-3-005,MONTH,21,人間関係,3,5,4102004,言葉,4102,言葉による伝え合い,経験や考えの言語表現,PRIMARY,3,active,79,
PPAL-00080,PLAN-REL-3-005,MONTH,21,人間関係,3,5,4102006,言葉,4102,言葉による伝え合い,言葉による伝え合いの楽しみ,PRIMARY,3,active,80,
PPAL-00081,PLAN-REL-3-005,MONTH,21,人間関係,3,5,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,RELATED,2,active,81,
PPAL-00082,PLAN-REL-3-005,MONTH,21,人間関係,3,5,5101003,表現,5101,豊かな感性と表現,自己で表現することの実践,RELATED,1,active,82,
PPAL-00083,PLAN-REL-3-006,MONTH,21,人間関係,3,6,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,PRIMARY,3,active,83,
PPAL-00084,PLAN-REL-3-006,MONTH,21,人間関係,3,6,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,PRIMARY,3,active,84,
PPAL-00085,PLAN-REL-3-006,MONTH,21,人間関係,3,6,2102001,人間関係,2102,協同性,友達と思いや考えを共有,RELATED,2,active,85,
PPAL-00086,PLAN-REL-3-006,MONTH,21,人間関係,3,6,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,RELATED,2,active,86,
PPAL-00087,PLAN-REL-3-007,MONTH,21,人間関係,3,7,2101005,人間関係,2101,自立心,達成感の獲得,PRIMARY,3,active,87,
PPAL-00088,PLAN-REL-3-007,MONTH,21,人間関係,3,7,2101006,人間関係,2101,自立心,自信をもった行動,PRIMARY,3,active,88,
PPAL-00089,PLAN-REL-3-007,MONTH,21,人間関係,3,7,2102001,人間関係,2102,協同性,友達と思いや考えを共有,RELATED,2,active,89,
PPAL-00090,PLAN-REL-3-007,MONTH,21,人間関係,3,7,2102005,人間関係,2102,協同性,友達と充実感持った達成,RELATED,2,active,90,
PPAL-00091,PLAN-REL-3-008,MONTH,21,人間関係,3,8,2103005,人間関係,2103,道徳性・規範意識の芽生え,感情調整と折り合い,PRIMARY,3,active,91,
PPAL-00092,PLAN-REL-3-008,MONTH,21,人間関係,3,8,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,PRIMARY,3,active,92,
PPAL-00093,PLAN-REL-3-008,MONTH,21,人間関係,3,8,4102004,言葉,4102,言葉による伝え合い,経験や考えの言語表現,RELATED,1,active,93,
PPAL-00094,PLAN-REL-3-008,MONTH,21,人間関係,3,8,2104004,人間関係,2104,社会生活との関わり,相手の気持ちを考えた関わり,RELATED,2,active,94,
PPAL-00095,PLAN-REL-4-001,MONTH,21,人間関係,4,1,2102001,人間関係,2102,協同性,友達と思いや考えを共有,PRIMARY,3,active,95,
PPAL-00096,PLAN-REL-4-001,MONTH,21,人間関係,4,1,2101001,人間関係,2101,自立心,主体的な環境への参加,PRIMARY,3,active,96,
PPAL-00097,PLAN-REL-4-001,MONTH,21,人間関係,4,1,2104003,人間関係,2104,社会生活との関わり,人との多様な関わり方への気付き,RELATED,2,active,97,
PPAL-00098,PLAN-REL-4-001,MONTH,21,人間関係,4,1,1101001,健康,1101,健康な心と体,主体的・充実感ある遊び,RELATED,1,active,98,
PPAL-00099,PLAN-REL-4-002,MONTH,21,人間関係,4,2,4102004,言葉,4102,言葉による伝え合い,経験や考えの言語表現,PRIMARY,3,active,99,
PPAL-00100,PLAN-REL-4-002,MONTH,21,人間関係,4,2,4102005,言葉,4102,言葉による伝え合い,相手の話を注意深く聴く力,PRIMARY,3,active,100,
PPAL-00101,PLAN-REL-4-002,MONTH,21,人間関係,4,2,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,RELATED,2,active,101,
PPAL-00102,PLAN-REL-4-002,MONTH,21,人間関係,4,2,2104004,人間関係,2104,社会生活との関わり,相手の気持ちを考えた関わり,RELATED,2,active,102,
PPAL-00103,PLAN-REL-4-003,MONTH,21,人間関係,4,3,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,PRIMARY,3,active,103,
PPAL-00104,PLAN-REL-4-003,MONTH,21,人間関係,4,3,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,PRIMARY,3,active,104,
PPAL-00105,PLAN-REL-4-003,MONTH,21,人間関係,4,3,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,2,active,105,
PPAL-00106,PLAN-REL-4-003,MONTH,21,人間関係,4,3,2103002,人間関係,2103,道徳性・規範意識の芽生え,行動の振り返り,RELATED,2,active,106,
PPAL-00107,PLAN-REL-4-004,MONTH,21,人間関係,4,4,2102002,人間関係,2102,協同性,友達との共通目的の形成,PRIMARY,3,active,107,
PPAL-00108,PLAN-REL-4-004,MONTH,21,人間関係,4,4,2102004,人間関係,2102,協同性,協力して行動する力,PRIMARY,3,active,108,
PPAL-00109,PLAN-REL-4-004,MONTH,21,人間関係,4,4,2102003,人間関係,2102,協同性,協働的な思考と工夫,RELATED,2,active,109,
PPAL-00110,PLAN-REL-4-004,MONTH,21,人間関係,4,4,2102005,人間関係,2102,協同性,友達と充実感持った達成,RELATED,2,active,110,
PPAL-00111,PLAN-REL-4-005,MONTH,21,人間関係,4,5,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,PRIMARY,3,active,111,
PPAL-00112,PLAN-REL-4-005,MONTH,21,人間関係,4,5,2104004,人間関係,2104,社会生活との関わり,相手の気持ちを考えた関わり,PRIMARY,3,active,112,
PPAL-00113,PLAN-REL-4-005,MONTH,21,人間関係,4,5,2102001,人間関係,2102,協同性,友達と思いや考えを共有,RELATED,2,active,113,
PPAL-00114,PLAN-REL-4-005,MONTH,21,人間関係,4,5,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,2,active,114,
PPAL-00115,PLAN-REL-4-006,MONTH,21,人間関係,4,6,2101001,人間関係,2101,自立心,主体的な環境への参加,PRIMARY,3,active,115,
PPAL-00116,PLAN-REL-4-006,MONTH,21,人間関係,4,6,2101006,人間関係,2101,自立心,自信をもった行動,PRIMARY,3,active,116,
PPAL-00117,PLAN-REL-4-006,MONTH,21,人間関係,4,6,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,2,active,117,
PPAL-00118,PLAN-REL-4-006,MONTH,21,人間関係,4,6,2101005,人間関係,2101,自立心,達成感の獲得,RELATED,2,active,118,
PPAL-00119,PLAN-REL-4-007,MONTH,21,人間関係,4,7,2103005,人間関係,2103,道徳性・規範意識の芽生え,感情調整と折り合い,PRIMARY,3,active,119,
PPAL-00120,PLAN-REL-4-007,MONTH,21,人間関係,4,7,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,PRIMARY,3,active,120,
